scats_id,timestamp,lat,lon,location,flow_hourly,day_of_week,is_weekend,hour_of_day
0970,2006-10-04 02:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,77,2,False,2
0970,2006-10-04 03:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,66,2,False,3
0970,2006-10-04 04:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,123,2,False,4
0970,2006-10-04 05:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,439,2,False,5
0970,2006-10-04 06:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,1791,2,False,6
0970,2006-10-04 07:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3593,2,False,7
0970,2006-10-04 08:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,4041,2,False,8
0970,2006-10-04 09:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3239,2,False,9
0970,2006-10-04 10:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,2789,2,False,10
0970,2006-10-04 11:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,2618,2,False,11
0970,2006-10-04 12:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,2722,2,False,12
0970,2006-10-04 13:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,2735,2,False,13
0970,2006-10-04 14:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,2656,2,False,14
0970,2006-10-04 15:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3135,2,False,15
0970,2006-10-04 16:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3451,2,False,16
0970,2006-10-04 17:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3676,2,False,17
0970,2006-10-04 18:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3197,2,False,18
0970,2006-10-04 19:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,2121,2,False,19
0970,2006-10-04 20:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,1464,2,False,20
0970,2006-10-04 21:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,1275,2,False,21
0970,2006-10-04 22:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,985,2,False,22
0970,2006-10-04 23:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,588,2,False,23
0970,2006-10-05 00:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,332,3,False,0
0970,2006-10-05 01:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,174,3,False,1
0970,2006-10-05 02:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,96,3,False,2
0970,2006-10-05 03:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,74,3,False,3
0970,2006-10-05 04:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,167,3,False,4
0970,2006-10-05 05:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,453,3,False,5
0970,2006-10-05 06:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,1851,3,False,6
0970,2006-10-05 07:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,4079,3,False,7
0970,2006-10-05 08:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,4724,3,False,8
0970,2006-10-05 09:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3951,3,False,9
0970,2006-10-05 10:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3304,3,False,10
0970,2006-10-05 11:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3482,3,False,11
0970,2006-10-05 12:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3377,3,False,12
0970,2006-10-05 13:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3436,3,False,13
0970,2006-10-05 14:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3599,3,False,14
0970,2006-10-05 15:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,4276,3,False,15
0970,2006-10-05 16:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,4863,3,False,16
0970,2006-10-05 17:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,5070,3,False,17
0970,2006-10-05 18:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,4466,3,False,18
0970,2006-10-05 19:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3062,3,False,19
0970,2006-10-05 20:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,2227,3,False,20
0970,2006-10-05 21:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,2063,3,False,21
0970,2006-10-05 22:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,1331,3,False,22
0970,2006-10-05 23:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,770,3,False,23
0970,2006-10-06 00:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,323,4,False,0
0970,2006-10-06 01:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,188,4,False,1
0970,2006-10-06 02:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,119,4,False,2
0970,2006-10-06 03:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,111,4,False,3
0970,2006-10-06 04:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,159,4,False,4
0970,2006-10-06 05:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,455,4,False,5
0970,2006-10-06 06:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,1928,4,False,6
0970,2006-10-06 07:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,4153,4,False,7
0970,2006-10-06 08:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,4883,4,False,8
0970,2006-10-06 09:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3749,4,False,9
0970,2006-10-06 10:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3339,4,False,10
0970,2006-10-06 11:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3591,4,False,11
0970,2006-10-06 12:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3296,4,False,12
0970,2006-10-06 13:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3603,4,False,13
0970,2006-10-06 14:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,3761,4,False,14
0970,2006-10-06 15:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,4472,4,False,15
0970,2006-10-06 16:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,4811,4,False,16
0970,2006-10-06 17:00:00,-37.8673030894309,145.09151138211382,WARRIGAL_RD N of HIGH STREET_RD,5116,4,False,17
